,iou,month_year,constant,size_comp,size_conc,gen_q_comp,gen_q_conc,inv_q_comp,inv_q_conc,q_comp,q_conc
26,sdge,2012-01-01,1,2336.0332,2337.2992,6873.0,6879.0,131.0,131.0,7004.0,7010.0
27,sdge,2012-02-01,1,2394.7721,2396.0381,9428.0,9434.0,158.0,158.0,9586.0,9592.0
28,sdge,2012-03-01,1,3683.7989,3685.0649000000003,13789.0,13795.0,156.0,156.0,13945.0,13951.0
29,sdge,2012-04-01,1,2080.8648000000003,2082.1308,10158.0,10164.0,162.0,162.0,10320.0,10326.0
30,sdge,2012-05-01,1,3288.4219,3289.6879,11832.0,11838.0,157.0,157.0,11989.0,11995.0
31,sdge,2012-06-01,1,4060.2914000000005,4647.4782,14834.0,17228.0,177.0,180.0,15011.0,17408.0
32,sdge,2013-06-01,1,585.9208,587.1868,2388.0,2394.0,3.0,3.0,2391.0,2397.0
33,sdge,2012-07-01,1,4761.3336,5348.5204,12569.0,14963.0,130.0,133.0,12699.0,15096.0
34,sdge,2008-10-01,1,314.3108,314.3108,487.0,487.0,35.0,35.0,522.0,522.0
35,sdge,2007-07-01,1,295.9381,295.9381,135.0,135.0,36.0,36.0,171.0,171.0
36,sdge,2007-03-01,1,234.46099999999998,234.46099999999998,60.0,60.0,21.0,21.0,81.0,81.0
37,sdge,2007-02-01,1,568.3176000000001,568.3176000000001,68.0,68.0,3.0,3.0,71.0,71.0
38,sdge,2007-04-01,1,448.11500000000007,448.11500000000007,30.0,30.0,37.0,37.0,67.0,67.0
39,sdge,2007-05-01,1,2157.861,2157.861,1498.0,1498.0,27.0,27.0,1525.0,1525.0
40,sdge,2007-06-01,1,392.9036,392.9036,384.0,384.0,30.0,30.0,414.0,414.0
41,sdge,2007-08-01,1,334.49050000000005,334.49050000000005,403.0,403.0,67.0,67.0,470.0,470.0
42,sdge,2007-09-01,1,1256.5916,1256.5916,74.0,74.0,26.0,26.0,100.0,100.0
43,sdge,2007-10-01,1,298.8864,298.8864,228.0,228.0,28.0,28.0,256.0,256.0
44,sdge,2008-11-01,1,1003.9917999999999,1003.9917999999999,471.0,471.0,24.0,24.0,495.0,495.0
45,sdge,2007-11-01,1,933.7409,933.7409,4087.0,4087.0,43.0,43.0,4130.0,4130.0
46,sdge,2007-12-01,1,219.6772,219.6772,114.0,114.0,29.0,29.0,143.0,143.0
47,sdge,2008-01-01,1,539.1396,539.1396,277.0,277.0,62.0,62.0,339.0,339.0
48,sdge,2008-02-01,1,610.7298000000001,610.7298000000001,268.0,268.0,32.0,32.0,300.0,300.0
49,sdge,2008-03-01,1,658.9262,658.9262,436.0,436.0,59.0,59.0,495.0,495.0
50,sdge,2008-04-01,1,1898.6166999999994,1898.6166999999994,6743.0,6743.0,72.0,72.0,6815.0,6815.0
51,sdge,2008-05-01,1,266.1015,266.1015,364.0,364.0,51.0,51.0,415.0,415.0
52,sdge,2008-06-01,1,2371.2462000000005,2371.2462000000005,613.0,613.0,43.0,43.0,656.0,656.0
53,sdge,2008-07-01,1,625.1868999999999,625.1868999999999,377.0,377.0,71.0,71.0,448.0,448.0
54,sdge,2008-08-01,1,510.8787,510.8787,737.0,737.0,39.0,39.0,776.0,776.0
55,sdge,2009-01-01,1,775.4088999999999,775.4088999999999,1464.0,1464.0,90.0,90.0,1554.0,1554.0
56,sdge,2008-09-01,1,2008.2579999999998,2008.2579999999998,600.0,600.0,84.0,84.0,684.0,684.0
57,sdge,2008-12-01,1,416.55580000000003,416.55580000000003,285.0,285.0,37.0,37.0,322.0,322.0
58,sdge,2009-02-01,1,470.9656000000001,470.9656000000001,967.0,967.0,48.0,48.0,1015.0,1015.0
59,sdge,2009-03-01,1,1005.6965999999999,1005.6965999999999,651.0,651.0,82.0,82.0,733.0,733.0
60,sdge,2009-04-01,1,731.7716,731.7716,852.0,852.0,94.0,94.0,946.0,946.0
61,sdge,2009-05-01,1,545.1057,545.1057,1086.0,1086.0,89.0,89.0,1175.0,1175.0
62,sdge,2009-06-01,1,831.8767,831.8767,1818.0,1818.0,124.0,124.0,1942.0,1942.0
63,sdge,2009-08-01,1,1183.8928999999998,1183.8928999999998,1709.0,1709.0,190.0,190.0,1899.0,1899.0
64,sdge,2009-07-01,1,1520.5808,1520.5808,1544.0,1544.0,151.0,151.0,1695.0,1695.0
65,sdge,2009-09-01,1,1346.4397999999999,1346.4397999999999,1919.0,1919.0,210.0,210.0,2129.0,2129.0
66,sdge,2009-10-01,1,3359.309,3359.309,6945.0,6945.0,214.0,214.0,7159.0,7159.0
67,sdge,2009-11-01,1,1883.2494000000002,1883.2494000000002,4730.0,4730.0,236.0,236.0,4966.0,4966.0
68,sce,2012-11-01,1,13291.142857142859,70798.1112244898,1454.0,39034.0,8098.0,29048.0,9552.0,68082.0
69,sce,2014-07-01,1,1848.9795918367345,6482.142857142857,1632.0,2430.0,416.0,2551.0,2048.0,4981.0
70,sce,2013-05-01,1,14499.000000000002,57201.84693877552,5544.0,22385.0,12065.0,31422.0,17609.0,53807.0
71,sce,2013-04-01,1,16831.428571428572,62103.88775510205,6348.0,26887.0,14516.0,32604.0,20864.0,59491.0
72,sce,2015-05-01,1,154.6938775510204,1677.5510204081634,64.0,293.0,139.0,380.0,203.0,673.0
73,sce,2015-08-01,1,488.7755102040816,1225.0000000000002,198.0,215.0,141.0,169.0,339.0,384.0
74,sce,2014-04-01,1,2098.9183673469392,10048.612244897962,232.0,3151.0,389.0,3689.0,621.0,6840.0
75,sce,2012-09-01,1,9796.765306122448,61593.570408163265,1268.0,12556.0,6329.0,25293.0,7597.0,37849.0
76,sce,2012-02-01,1,8112.224489795919,59755.98979591837,1115.0,11884.0,5261.0,24203.0,6376.0,36087.0
77,sce,2013-03-01,1,12387.704081632653,59240.0,8626.0,30564.0,11852.0,31114.0,20478.0,61678.0
78,sce,2014-11-01,1,243.46938775510205,3418.0612244897957,79.0,570.0,175.0,1267.0,254.0,1837.0
79,sce,2012-08-01,1,13890.816326530614,63257.07040816327,1357.0,12358.0,8025.0,26409.0,9382.0,38767.0
80,sce,2012-03-01,1,7237.122448979592,62691.0918367347,1161.0,12282.0,5972.0,25728.0,7133.0,38010.0
81,sce,2012-01-01,1,14333.438775510203,64696.571428571435,1720.0,7652.0,7099.0,22947.0,8819.0,30599.0
82,sce,2012-12-01,1,12949.84693877551,68006.9275510204,6275.0,38938.0,7394.0,29034.0,13669.0,67972.0
83,sce,2013-10-01,1,6275.367346938776,31247.61224489796,2202.0,9638.0,3244.0,11757.0,5446.0,21395.0
84,sce,2012-05-01,1,11843.459183673469,68285.73367346938,1393.0,12787.0,6035.0,28169.0,7428.0,40956.0
